benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SEQ026_size7_p0.smt2,,ok,unsat,5.7,0,5.6,36.4
SEQ026_size7_p1.smt2,,ok,unsat,0.3,0,0.3,13.3
SEQ026_size7_p10.smt2,,ok,unsat,0.3,0,0.2,11.8
SEQ026_size7_p11.smt2,,ok,unsat,0.3,0,0.2,13.0
SEQ026_size7_p12.smt2,,ok,unsat,0.6,0,0.5,32.2
SEQ026_size7_p13.smt2,,ok,unsat,0.4,0,0.4,12.9
SEQ026_size7_p14.smt2,,ok,unsat,4.0,0,3.9,37.8
SEQ026_size7_p15.smt2,,to,unknown,1201.0,0,1201.0,56.4
SEQ026_size7_p2.smt2,,ok,unsat,4.4,0,4.2,36.6
SEQ026_size7_p3.smt2,,ok,unsat,0.3,0,0.2,13.3
SEQ026_size7_p4.smt2,,ok,unsat,0.2,0,0.2,13.1
SEQ026_size7_p5.smt2,,ok,unsat,13.8,0,13.8,37.6
SEQ026_size7_p6.smt2,,ok,unsat,0.5,0,0.5,31.5
SEQ026_size7_p7.smt2,,ok,unsat,1.8,0,1.8,35.5
SEQ026_size7_p8.smt2,,ok,unsat,25.2,0,25.2,37.3
SEQ026_size7_p9.smt2,,ok,unsat,0.3,0,0.3,13.3
