benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_nested9.i_5_6_6.bpl_7_p0.smt2,,to,unknown,1201.0,0,1200.9,123.9
_nested9.i_5_6_6.bpl_7_p1.smt2,,to,unknown,1201.0,0,1201.0,123.9
_nested9.i_5_6_6.bpl_7_p10.smt2,,to,unknown,1201.0,0,1201.0,108.6
_nested9.i_5_6_6.bpl_7_p11.smt2,,to,unknown,1201.0,0,1200.9,125.4
_nested9.i_5_6_6.bpl_7_p12.smt2,,to,unknown,1201.0,0,1201.0,118.4
_nested9.i_5_6_6.bpl_7_p13.smt2,,to,unknown,1201.0,0,1200.9,115.4
_nested9.i_5_6_6.bpl_7_p14.smt2,,to,unknown,1201.0,0,1200.9,119.1
_nested9.i_5_6_6.bpl_7_p15.smt2,,to,unknown,1201.0,0,1200.9,122.8
_nested9.i_5_6_6.bpl_7_p16.smt2,,to,unknown,1201.0,0,1201.0,123.2
_nested9.i_5_6_6.bpl_7_p17.smt2,,to,unknown,1201.0,0,1200.9,112.7
_nested9.i_5_6_6.bpl_7_p18.smt2,,to,unknown,1201.0,0,1200.9,106.9
_nested9.i_5_6_6.bpl_7_p19.smt2,,to,unknown,1201.0,0,1201.0,118.3
_nested9.i_5_6_6.bpl_7_p2.smt2,,to,unknown,1201.0,0,1200.9,127.9
_nested9.i_5_6_6.bpl_7_p20.smt2,,to,unknown,1201.0,0,1201.0,121.6
_nested9.i_5_6_6.bpl_7_p21.smt2,,to,unknown,1201.0,0,1200.9,106.0
_nested9.i_5_6_6.bpl_7_p22.smt2,,to,unknown,1201.0,0,1201.0,103.2
_nested9.i_5_6_6.bpl_7_p23.smt2,,to,unknown,1201.0,0,1201.0,107.0
_nested9.i_5_6_6.bpl_7_p24.smt2,,to,unknown,1201.0,0,1201.0,124.5
_nested9.i_5_6_6.bpl_7_p25.smt2,,to,unknown,1201.0,0,1200.9,114.5
_nested9.i_5_6_6.bpl_7_p26.smt2,,to,unknown,1201.0,0,1201.0,106.8
_nested9.i_5_6_6.bpl_7_p27.smt2,,to,unknown,1201.0,0,1201.0,115.2
_nested9.i_5_6_6.bpl_7_p28.smt2,,to,unknown,1201.0,0,1200.9,111.4
_nested9.i_5_6_6.bpl_7_p29.smt2,,to,unknown,1201.0,0,1200.9,125.3
_nested9.i_5_6_6.bpl_7_p3.smt2,,to,unknown,1201.0,0,1201.0,113.9
_nested9.i_5_6_6.bpl_7_p30.smt2,,to,unknown,1201.0,0,1201.0,109.3
_nested9.i_5_6_6.bpl_7_p31.smt2,,to,unknown,1201.0,0,1201.0,115.5
_nested9.i_5_6_6.bpl_7_p4.smt2,,to,unknown,1201.0,0,1200.9,122.2
_nested9.i_5_6_6.bpl_7_p5.smt2,,to,unknown,1201.0,0,1201.0,112.7
_nested9.i_5_6_6.bpl_7_p6.smt2,,to,unknown,1201.0,0,1201.0,118.6
_nested9.i_5_6_6.bpl_7_p7.smt2,,to,unknown,1201.0,0,1201.0,115.2
_nested9.i_5_6_6.bpl_7_p8.smt2,,to,unknown,1201.0,0,1200.9,117.1
_nested9.i_5_6_6.bpl_7_p9.smt2,,to,unknown,1201.0,0,1201.0,116.9
