benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-65_p0.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-65_p1.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p10.smt2,,ok,unsat,1.4,0,1.3,18.9
danoint-65_p11.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-65_p12.smt2,,ok,unsat,1.4,0,1.4,18.7
danoint-65_p13.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-65_p14.smt2,,ok,unsat,1.4,0,1.4,18.3
danoint-65_p15.smt2,,to,unknown,1201.0,0,1201.0,58.9
danoint-65_p2.smt2,,to,unknown,1201.0,0,1201.0,59.6
danoint-65_p3.smt2,,ok,unsat,1.3,0,1.3,18.8
danoint-65_p4.smt2,,to,unknown,1201.0,0,1201.0,58.7
danoint-65_p5.smt2,,ok,unsat,1.3,0,1.2,18.1
danoint-65_p6.smt2,,to,unknown,1201.0,0,1201.0,59.7
danoint-65_p7.smt2,,ok,unsat,1.3,0,1.3,18.6
danoint-65_p8.smt2,,ok,unsat,1.3,0,1.3,18.6
danoint-65_p9.smt2,,to,unknown,1201.0,0,1201.0,60.6
